Common name,Origin,First developed,Comment,Use
Orleans,US,Introduced 1924,P Deacon Jones x Delicious.,
Orleans Reinette(syn. Golden Reinette),France,1776,"Medium flat, rich red and golden russet. Triploid. Reliable bearer. W 62, H 58. Stalk 6–20 mm. Extraordinary complex flavour, similar to Blenheim Orange, but not related. Pick mid October. Use Dec. - Feb.",Eating
"Ortley(syn. White Bellflower, Cleopatra)",US,1850,"A large yellow apple with red flush. W 71, H 70. Flesh yellowish, crisp, tender, juicy, acid to subacid, very good. Tree vigorous, very productive. Pick late October. Use November - January.","Cooking, Eating"
Osceola,US,1850,"W 84, H 72. Stalk 13 mm. Flesh, yellow, juicy, subacid. Use January - March.",Eating
"Oskaloosa(syn. Jack, Apple)",US,1850,"Flesh juicy, subacid. Tree moderate grower, early but not an abundant bearer. Use November.",
Owen Thomas,England,1897,"H 51, W 57-63. Stalk 7 – 15 mm. Green wit orange flush. P Cox Orange x Gladstone. Pick mid August. Use late August - early September.",Eating
Ozark Gold,US,1970,Light green with pink blush. Has taste with notes of honey.,Eating
Pacific Rose,New Zealand,1995,"Extremely crisp, sweet apple. Also grows well in California.",Eating
Pam's Delight,England,1958,"A medium-sized apple with a red blush. Flesh is crisp, juicy and sweet-tasting.[237]",Eating
Paragon,US,1830,"Tree vigorous. Flesh yellow, firm, tender, juicy, aromatic, mild subacid, good to very good.",
"Park(syn. Park Spice, Park Apple)",N.Y. US,1870,"Flesh yellowish, firm, juicy, subacid, aromatic, very good. Stalk short. Tree very productive. Use December - March.",Eating
Paroquet,England,1899,"A red apple with russet. W 64, H 57. Stalk short. AM from RHS in 1899. Flesh yellowish, tender, fair. Use October - January.","Eating, Cooking"
Parry White,Pennsylvania ? US,1872,"W 71, H 62. Stalk 18 mm. Flesh white, tender, juicy, subacid, good. Use late August - October.",Eating
Patten,Wis. US,1869,"W 85, H 70. Stalk 17 mm. Flesh tender, juicy, subacid, good. Use October - January.",Cooking
Patricia,Canada,1920,P McIntosh x unknown. Tree heavy bearer.,Eating
Paula Red,US,1960,Firm white flesh; McIntosh mutation.,Eating
"Pawpaw(syn. Western Baldwin, Rubicon, Ball Apple)",US,1875,"Flesh yellowish, juicy, firm, brisk, subacid, very good. Stalk medium. Tree hardy, a regular bearer. Use December - June.",Eating
Payette,Idaho,1936,A red apple. P Ben Davis x Wagener.,Eating
Peacemaker,England,1913,"Round and smooth, with crimson flush and stripings. Resembles Charles Ross in general charasteristics. AGM from RHS in 1913. H 57, W 69.",Eating
Peach-Pound Sweet,N.Y. US,1875,"W 72, H 54. Stalk 16 mm. Flesh juicy, sweet. Very good. Use September - November.",Eating
Pearl,England,1983,"Yellow apple flushed with red on 50%. W 68, H 64. Pick late September - early October. Use October - November.",Eating
"Pease(syn. Walter Pease, Pease Walter)",Conn. US,1895,"W 88, H 67. Stalk 11 mm. Flesh whitish, crisp, tender, juicy, aromatic, subacid, good to very good. Pick late September - early August. Use October - January.",Eating
Peasgood's Nonsuch agm,England,1858,"W 83 - 92, H 70-76. Stalk 8 mm. A very large yellowish-green apple, deepening to orange-yellow, flushed and striped red with some russet patches. Flesh is sweet and juicy. Good eating and superb for cooking. Large, hardy and heavy cropping tree. Apples can weigh up to half a kilogram, and are famously large enough to make a pie from a single apple. Pick mid September. Use September - December.","Cooking, Eating"
Peck´s Pleasant(syn. Waltz Apple),Connecticut ? US,,"Yellow with red flush. W 85, H 68. Stalk 9 mm. Flesh juicy, subacid, highly aromatic, very good to best. Use November - March.",Eating
Pederstrup,Denmark,1850,A medium size cooking apple. Stalk 10 mm. H 60 W 72.,Cooking
Pekka,Finland,Introduced 1999,"A dark red apple. Flesh subacid, sweet. P Lobo x Huvitus. Pick mid September. Use September - October.",Eating
"Pennock(syn. Romanie, Big Romanie, Pennock´s Red Winter)",US,1840,"Stalk short. Flesh yellow, subacid. Quality poor. Tree vigorous, very productive. Use December.",Cooking
Perry Russet,US,1850,"W 86, H 64. Stalk 18 mm. Flesh yellow, acid. Use December - January.","Cooking, Eating"
Petteri,Finland,Introduced 2003,"A dark red appel. P Lobo x Huvitus. Flesh subacid, aromatic. Pick late August.",Eating
Pewaukee,US,1870,"Tree vigorous. W 68, H 58. Stalk 10 mm. Flesh white, firm tender, juicy, aromatic, subacid, fair to good. Use November - April.",Eating
Pfirsichroter Sommerapfel,France,1830,"Yellow with red flush. W 62, H 50. Stalk 15-20mm. Pick August. Use August.",Eating
Pickard´s Reserve,US,1850,"W 82, H 65. Stalk 13 mm. Flesh whitish-yellow, tender, juicy, subacid, aromatic. Use December - January.","Cooking, Eating"
Pilot,Germany,1962,"A conical apple, yellow with red flush. H 55-65, W 65-70, We 120. Pick October. Use February - July.",Eating
Pine Golden Pippin,UK,1861,"A golden yellow apple with russet. W 69, H 63. Pick early October. Use November - February.",Eating
Pink Pearl,US,Introduced 1944,Noted for having bright pink flesh. P Surprise x unknown. Sweet. Possibly has crab apple in its ancestry. Makes cider have a reddish tint if pressed. Pick September.,Eating
Pinova,East Germany,1965,"Bred in Germany over an 18-year period. Marketed as ""Piñata"" in the United States. Fragrant smell, thin skin and balanced sweet and tart flavour profile. From Clivia × Golden Delicious. H 50-60, W 60-65, We 125. Pick October. Use December - May.","Cooking, Eating"
Pirja,Finland,Introduced 1980,A red apple. P Huvitus x Melba. Flesh subacid. Pick early august.,Eating
Piros,Germany,1985,A green apple with red flush. P Helios x Apollo. Pick early August. Use August.,Eating
Pitmaston Pineapple,England,1785,"Pitmaston Pineapple is a dessert apple known since 1785. Small oblong apples with a yellow-green russeted skin. W 53, H 49.Tender flesh is an intense nutty, honeyed flavour with, as the name suggests, tropical undertones and some balancing acidity. Trees are biennial but produce heavy crops in the 'on' year. Pick mid September. Use October - December.",Eating
Pixie agm,England,1947,"Resistant to scab and mildew. W 64, H 51. Stalk 20 mm. Flesh intensely aromatic, Cox-like flavour, but sharper. FCC from RHS in 1972. Pick early-mid October. Use December - March.",Eating
Pomme Grise,?,1850,"W 61-63, H 45-48. Stalk 12–14 mm. Flesh yellow, juicy, aromatic, subacid, delicious. Use January - March",Eating
Pomme Royale see Dyer,,,,
Ponyik alma(syn. Poinikapfel),Hungary,1872,"A green yellow apple with brown overcolour. H 57, W 76. Pick October.",Eating
Potts Seedling,England,1849,"A yellow apple. W 81, H 67. Stalk variable. Flesh greenish white, soft, acid. Pick early September. Use September - October.","Cooking, Juice"
Poorhouse,US,1880,"Flesh yellow, juicy, subacid. Very good. Use December.",Eating
Porter's,US,1850,"W 72, H 72. Stalk 23 mm. Smallish, squat, deep golden yellow colour with red blush and firm, Flesh yellow, fine-grained, aromatic, subacid, good to very good. Tree vigorous, healthy, productive. Use August - October.","Eating, Cooking or Cider."
Pott's Seedling,England,1849,"Pale green to yellow colour and white flesh. W 81, H 67. Pick September. Use September - October.",Cooking
Pound Sweet(syn. Briar Sweet),US,1834,Amber coloration. Used mostly for making apple butter. Russets. Does well in moderate cold. Suitable to areas with snowy winters.,Cooking
Priestly,US,1870,"Flesh white, juicu, aromatic. Tree vigorous, productive. Use December - March.",Eating
Prima,United States,1958,Resistant to scab and most diseases,Eating
"Primate(syn. Scott, Powers, July Apple)",US,1830,"W 72-94, H 62-76. Stalk 16–25 mm Tree hardy, very productive. Flesh white, tender, subacid, very good or best. Pick late August. Use September - October.",Eating
Primicia,Brazil,1982,"P D1R101T117 x D1R103T245. Flesh juicy, subacid, fair.",Eating
Princesa,Brazil,Introduced 1988,"P NJ 56 x Anna. Flesh sweet, subacid.",Eating
Pristine,United States,1994,Resistant to most diseases,Eating
Primula,Poland,,,
Pryor Red,US,1850,"W 80, H 62. Stalk 17 mm. Flesh yellow, tender, juicy, subacid. Use January - March.",Eating
Pumpkin Sweet,Conn. US,1834,"A very large sweet apple. W 77, H 71. Stalk 17 mm. Biennial. Flesh white, firm, crisp, juicy, very sweet, peculiar flavor, good. Use September - October.","Baking, (Cooking)"
Queen,England,1858,"Large cooking apple for use in September - December. FCC from RHS in 1880. H 57-64, W 78-89. Stalk 18 mm. Pick late August. Use September - December.",Cooking
Quince(syn. Cole´s Quince),US,1850,"A medium size ribbed apple. Flesh yellowish-white, juicy, aromatic, subacid. Use November - January.",Cooking
Quinte,Canada,1964,"A red oblong apple. W 68, H 65. P Crimson Beauty x Red Melba. Pick August.",Eating
Quittenförmiger Gulderling,Germany,1830,"W 62-78, H 56-80. Stalk 6 mm. Use November - February.",Cooking
Råby Rubin,Sweden,1960,"A small greenish-yellow apple with red flush. Flesh juicy, subacid, aromatic, good. Pick October. Use October - December.",Eating
Ragan(syn. Ragan´s Red),Ind. US,1870,"A green apple striped with red. Flesh yellowish-white, pleasant, juicy, spicy, subacid. Tree hardy, vigorous. Use October - November.",Eating
Rainha,Brazil,1975,"P Golden Delicious x Valinhense. Flesh sweet, subacid.",Eating
Rajka,Czechoslovakia,,Scab-resistant cross of Rezista × Rome,Eating
Ralls Genet(syn. Ralls ),US,1800,"Biennial. W 73, H 67. Stalk 16 mm. Flesh white firm, crisp, tender, juicy, subacid, very good. Use November - April.",Eating
"Rambo(syn. Romanite of New Yersey, Bread and Cheese)",US,1850,"W 78, H 60. Stalk 15 mm. Flesh greenish-white, tender, juicy, subacid, aromatic, vinous. Use October - December.","Cooking, Eating"
Rambour de Flandre see Flandrischer Rambour,,,,
"Rambour d'Hiver(syn. Rambour Rouge, Rambour Doux)",France,1628,"A green apple with red stripes. H 55-85, W 75-105 We 280. Stalk 16–19 mm.","Eating, Cooking"
"Rambour Franc(syn. Lothringer Rambour, Müschens Rosenapfel)",France,1665,"Yellow green with red flush. W 87-112, H 60 -86. Stalk 11mm. Pick September. Use October - November.","Eating, Cooking"
Rambour Papeleu,Ukraine,1850,"Green with red flush H 67, W 77. Pick October, Use October - December","Eating, Cooking"
"Ramsdell (syn. Ramsdell Sweet, Hurlbut)",US,1838,"W 90, H 89. Stalk 14 mm. Flesh yellow, firm, tender, juicy, very sweet, good to very good. Use September - December.",Baking
Reanda,Germany,1993,A red apple resistant to scab and fire-blight. Pick September. Use October–January.,"Eating, Cooking"
Red and Green Sweet,US,1817,"Stalk short to medium. Flesh white, tender, juicy, sweet. Use August - September",Eating
Red Astrachan,Russia or Sweden,1800,"Extremely resistant to frost. H 76, W 82. Flesh white, fine, crisp, tender, juicy, subacid, aromatic, good to very good. The tree does not attain a large size. Pick and use in August.",Cooking
"Red Canada(syn. Poland, Richfield Nonsuch)",US,1820,"W 74, H 61. Stalk 17 mm. Flesh white, tender, crisp. Very good. Use January - May.",Eating
Red Delicious,US,1870,"Unmistakable for its acutely conic shape, dark red colour and telltale bumps on bottom. W70, H 70. Stalk 19–22 mm. Flavour is sweet and mild. Extremely poor choice for cooking or cider; tastes terrible in pies. Original seedling known as ""Hawkeye."" Rights bought by Stark Brothers in 1893. First marketed as ""Delicious"" or ""Stark's Delicious,"" name changed to ""Red Delicious"" in 1914 when Stark bought the rights to Mullin's Yellow Seedling, changing that apple's name to ""Yellow Delicious"". Red Delicious has many sports and ranks as the world's most prolific apple. Pick mid October. Use December - March.",Eating
Red Duchess,US,1914,A red mutant of Duchess.,
Red Falstaff agm,,,"Falstaff sport with red/orange flush to the skin, late, prolific",Eating
Redgold,Washington,1936,P Golden Delicious x Richared Delicious.,Eating
Red Graham,Michigan,Introduced 1936,Mutation of Northern Spy.,Cooking
Red Gravenstein,US,1908,A red sport of Gravenstein,"Eating, Cooking, Pie"
Red June(syn. Carolina Red June),US,1848,"Flesh white, fine, tender juicy, subacid, good to very good. W 55-65, H 57-67. Stalk 13 – 20 mm. Use August - October.",Eating
Red Prince,Netherlands,1994,"Medium-sized, conic, uniform deep red skin. White flesh is crisp, sweet and juicy, with hints of cherry and almond. Excellent keeper. Chance seedling (a natural cross of Jonathan and Golden Delicious) discovered in 1994. Marketed throughout Europe, in 2001, Global Fruit in Ontario became exclusive growers of the variety in North America.[263]","Eating, Cooking"
Red Russet,N.H. US,1875,"Stalk short. Flesh yellow, crisp, tender, subacid. Very good. Use January - April.",Eating
Red Sauce,US,1917,P Deacon Jones x Wealthy. Flesh subacid. Use October.,Cooking
Red Spy,US,Introduced 1923,Mutation of Northern Spy.,Cooking
Red Stripe,US,1850,"Stalk short. Flesh whitish, tender, acid, juicy. Use July - August.","Cooking, Eating"
Red Winesap,US,Introduced 1930,P unknown.,
Reglindis,Germany,1990,Yellow with red flush. Sugar 10.6% Acid 0.83% Juice yield 80%. Pick September. Use October–November.,Cooking. Juice
Reinette Coulon,Belgium,1856,"W 80-90, H 65-75. Pick late October. Use December - March.",Cooking
Reinette de Breda see Breda Reinette,,,,
Reinette de Bretange,France,1850,"W 73, H 55. Stalk 8 mm. Flesh sweet, crisp. Use November - February.","Eating, Cooking, Cider"
Reinette de Champagne,France,1770,A green apple.W 66-79. H 48-58. Stalk 16 mm. Pick October. Use February - May.,Cooking (Eating)
Reinette de Montmorency,?,1800,"A gelb apple with red flush. W 70, H 56. Stalk 13 mm. Flesh juicy, sweet. Use January - May.","Cooking, Eating"
Reinnete Diel,Belgium,1840,"A beautiful dessert apple of first quality. W 50, H 56. Use December - March. The tree is a healthy and vigorous grower.",Eating
Reinette Dippedalle,France,1850,"Green with red flush. W 57, H 45. Stalk 10mm. Use December - April.","Cooking, Eating."
Reinette du Canada,France,1771,"Despite its name, it is an old French cultivar of domesticated apple. It is a reinette type of golden apple, with much russeting, which keeps shape in cooking. AM from RHS in 1901. If stored for some time it gets softer and is good to eat. W 90-100, H 70-80, We 170.","Eating, Cooking"
Reinette Franche,France,1700,"A dessert apple of first-rate quality. H 64, W 80. Use November - April. The tree is a free grower, but subjet to canker.",Eating
Reinette Grise,France,1800,"A very fine desser apple. H 63, W 76. Use November - May. The tree is a healthy and vigororus grower, and an excellent bearer.",Eating
Reinette Middelburg,Netherlands,1850,"Yellow conical. W 56-65, H 52-62. Stalk 10 mm. Use December - April.","Cooking, Eating"
Reinette Rouge Etoilée,Belgium or Netherlands,1830,"Round red apple.No ribs. H 56, W 62. Stalk short and stout. Flesh, dry subacid. Use October - November.",Eating
